,,Config,MeanMSE,Std
architecture,0,8-5-1,118.49861243245637,12.660907751148105
architecture,1,8-10-1,122.92901100648086,14.298476949428638
architecture,2,8-20-1,112.72354679341666,11.02247075757209
architecture,3,8-10-5-1,158.62629012475793,35.775947365746084
architecture,4,8-20-10-1,135.6227707070045,23.07662334172076
swarm_iter,0,S10×I100,139.95106795710774,25.11764563013706
swarm_iter,1,S20×I50,174.85525992838802,26.838490103990086
swarm_iter,2,S50×I20,232.46559528868448,35.731468766481974
swarm_iter,3,S100×I10,316.9525497400037,38.34020797268535
c1c2,0,Exploration,132.7350416614758,29.395751282982147
c1c2,1,Cognitive,122.00340666510822,17.200831660270595
c1c2,2,Balanced,122.92901100648086,14.298476949428638
c1c2,3,Social,123.42777080074707,22.41029360702445
c1c2,4,Exploitation,117.85572753736642,11.965648716022049
topology,0,random,134.09305053730174,21.529544534900943
topology,1,ring,146.28319891724817,21.048978525252654
topology,2,fully_informed,97.09446213935684,9.452317494689131
design,0,relu-clamp,128.5181278103119,13.931745191628977
design,1,relu-reflect,129.743958732245,14.223395310773583
design,2,tanh-clamp,223.56000651976177,61.662859955156016
design,3,tanh-reflect,263.344584185355,58.457493553445
design,4,sigmoid-clamp,152.7911621625006,22.846674256355268
design,5,sigmoid-reflect,167.9056406368085,21.404540678576705
